2026-04-14 09:14:03,197 | INFO | Bridge starting with config: host=localhost port=8766
2026-04-15 12:06:49,116 | INFO | Bridge starting with config: host=localhost port=8766
2026-04-15 13:50:48,415 | INFO | Bridge starting with config: host=localhost port=8766
2026-04-15 19:20:08,702 | INFO | Bridge starting with config: host=localhost port=8766
2026-04-15 19:20:08,716 | INFO | Healthz running on http://127.0.0.1:8770/healthz
2026-04-15 19:20:08,739 | INFO | Bridge P6 running on ws://localhost:8766
2026-04-15 19:20:30,038 | INFO | client connected
2026-04-15 19:20:30,072 | INFO | cmd=list_scenarios payload={}
2026-04-15 19:20:30,072 | INFO | cmd=view.snapshot payload={}
2026-04-15 19:20:40,037 | INFO | cmd=list_scenarios payload={}
2026-04-15 19:20:40,538 | INFO | cmd=view.snapshot payload={}
2026-04-15 19:20:50,037 | INFO | cmd=list_scenarios payload={}
2026-04-15 19:20:50,537 | INFO | cmd=view.snapshot payload={}
2026-04-15 19:21:00,037 | INFO | cmd=list_scenarios payload={}
2026-04-15 19:21:00,537 | INFO | cmd=view.snapshot payload={}
2026-04-15 19:21:10,037 | INFO | cmd=list_scenarios payload={}
2026-04-15 19:21:10,537 | INFO | cmd=view.snapshot payload={}
2026-04-15 19:21:20,037 | INFO | cmd=list_scenarios payload={}
2026-04-15 19:21:20,537 | INFO | cmd=view.snapshot payload={}
2026-04-15 19:21:30,038 | INFO | cmd=list_scenarios payload={}
2026-04-15 19:21:30,537 | INFO | cmd=view.snapshot payload={}
2026-04-15 19:21:40,037 | INFO | cmd=list_scenarios payload={}
2026-04-15 19:21:40,537 | INFO | cmd=view.snapshot payload={}
2026-04-15 19:21:50,037 | INFO | cmd=list_scenarios payload={}
2026-04-15 19:21:50,537 | INFO | cmd=view.snapshot payload={}
2026-04-15 19:22:00,037 | INFO | cmd=list_scenarios payload={}
2026-04-15 19:22:00,537 | INFO | cmd=view.snapshot payload={}
2026-04-15 19:22:10,037 | INFO | cmd=list_scenarios payload={}
2026-04-15 19:22:10,537 | INFO | cmd=view.snapshot payload={}
2026-04-15 19:22:20,037 | INFO | cmd=list_scenarios payload={}
2026-04-15 19:22:20,537 | INFO | cmd=view.snapshot payload={}
2026-04-15 19:22:30,037 | INFO | cmd=list_scenarios payload={}
2026-04-15 19:22:30,537 | INFO | cmd=view.snapshot payload={}
2026-04-15 19:22:40,037 | INFO | cmd=list_scenarios payload={}
2026-04-15 19:22:40,537 | INFO | cmd=view.snapshot payload={}
2026-04-15 19:22:50,037 | INFO | cmd=list_scenarios payload={}
2026-04-15 19:22:50,537 | INFO | cmd=view.snapshot payload={}
2026-04-15 19:23:00,036 | INFO | cmd=list_scenarios payload={}
2026-04-15 19:23:00,537 | INFO | cmd=view.snapshot payload={}
2026-04-15 19:23:08,337 | INFO | cmd=view.snapshot payload={}
2026-04-15 19:23:18,037 | INFO | cmd=list_scenarios payload={}
2026-04-15 19:23:18,537 | INFO | cmd=view.snapshot payload={}
2026-04-15 19:23:28,037 | INFO | cmd=list_scenarios payload={}
2026-04-15 19:23:28,537 | INFO | cmd=view.snapshot payload={}
2026-04-15 19:23:38,037 | INFO | cmd=list_scenarios payload={}
2026-04-15 19:23:38,537 | INFO | cmd=view.snapshot payload={}
2026-04-15 19:23:45,179 | INFO | cmd=view.snapshot payload={}
2026-04-15 19:23:55,037 | INFO | cmd=list_scenarios payload={}
2026-04-15 19:23:55,537 | INFO | cmd=view.snapshot payload={}
2026-04-15 19:24:05,036 | INFO | cmd=list_scenarios payload={}
2026-04-15 19:24:05,537 | INFO | cmd=view.snapshot payload={}
2026-04-15 19:24:15,037 | INFO | cmd=list_scenarios payload={}
2026-04-15 19:24:15,537 | INFO | cmd=view.snapshot payload={}
2026-04-15 19:24:25,037 | INFO | cmd=list_scenarios payload={}
2026-04-15 19:24:25,537 | INFO | cmd=view.snapshot payload={}
2026-04-15 19:24:35,037 | INFO | cmd=list_scenarios payload={}
2026-04-15 19:24:35,537 | INFO | cmd=view.snapshot payload={}
2026-04-15 19:24:45,037 | INFO | cmd=list_scenarios payload={}
2026-04-15 19:24:45,537 | INFO | cmd=view.snapshot payload={}
2026-04-15 19:24:55,037 | INFO | cmd=list_scenarios payload={}
2026-04-15 19:24:55,537 | INFO | cmd=view.snapshot payload={}
2026-04-15 19:25:05,037 | INFO | cmd=list_scenarios payload={}
2026-04-15 19:25:05,537 | INFO | cmd=view.snapshot payload={}
2026-04-15 19:25:15,037 | INFO | cmd=list_scenarios payload={}
2026-04-15 19:25:15,537 | INFO | cmd=view.snapshot payload={}
